"Station Name","CHARLOTTETOWN A"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.29"
"Longitude","-63.13"
"Elevation","48.80"
"Climate Identifier","8300300"
"WMO Identifier","71706"
"TC Identifier","YYG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-01-01","2006","01","01","","-1.2","","-4.6","","-2.9","","20.9","","0.0","","0.2","","0.0","T","0.2","","0","T","2","E","33","E"
"2006-01-02","2006","01","02","","-2.4","","-6.4","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2006-01-03","2006","01","03","","-5.2","","-9.7","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2006-01-04","2006","01","04","","-0.9","","-8.8","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2006-01-05","2006","01","05","","0.2","","-6.1","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2006-01-06","2006","01","06","","2.6","","-3.5","","-0.5","","18.5","","0.0","","3.9","","0.0","","3.9","","0","T","","","<31",""
"2006-01-07","2006","01","07","","1.0","","-7.5","","-3.3","","21.3","","0.0","","0.3","","0.0","T","0.3","","0","T","26","E","41","E"
"2006-01-08","2006","01","08","","-3.8","","-9.0","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"2006-01-09","2006","01","09","","0.2","","-10.6","","-5.2","","23.2","","0.0","","6.0","","3.4","","9.0","","0","T","","","<31",""
"2006-01-10","2006","01","10","","0.4","","-8.8","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","2","","30","E","48","E"
"2006-01-11","2006","01","11","","2.8","","-3.8","","-0.5","","18.5","","0.0","","0.0","T","0.0","","0.0","T","2","","","","<31",""
"2006-01-12","2006","01","12","","7.9","","2.0","","5.0","","13.0","","0.0","","9.3","","0.0","","9.3","","0","T","28","E","48","E"
"2006-01-13","2006","01","13","","5.5","","0.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"2006-01-14","2006","01","14","","11.6","","2.1","","6.9","","11.1","","0.0","","0.4","","0.0","","0.4","","0","T","17","E","46","E"
"2006-01-15","2006","01","15","","13.2","","-2.8","","5.2","","12.8","","0.0","","10.1","","0.6","","10.7","","0","T","16","E","50","E"
"2006-01-16","2006","01","16","","-2.5","","-5.7","","-4.1","","22.1","","0.0","","0.0","T","8.6","","7.8","","8","","28","E","41","E"
"2006-01-17","2006","01","17","","-2.7","","-9.4","","-6.1","","24.1","","0.0","","0.0","","2.6","","2.6","","13","","34","E","44","E"
"2006-01-18","2006","01","18","","8.5","","-9.9","","-0.7","","18.7","","0.0","","8.2","","0.0","","8.2","","12","","16","E","76","E"
"2006-01-19","2006","01","19","","6.6","","-2.6","","2.0","","16.0","","0.0","","0.4","","0.4","","0.8","","0","T","23","E","70","E"
"2006-01-20","2006","01","20","","3.7","","-4.0","","-0.2","","18.2","","0.0","","1.6","","0.0","T","1.6","","0","T","28","E","37","E"
"2006-01-21","2006","01","21","","6.8","","-1.9","","2.5","","15.5","","0.0","","1.8","","0.0","T","1.8","","0","T","32","E","72","E"
"2006-01-22","2006","01","22","","-1.7","","-10.6","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","E","69","E"
"2006-01-23","2006","01","23","","-2.8","","-10.9","","-6.9","","24.9","","0.0","","0.0","","1.6","","1.6","","0","T","","","<31",""
"2006-01-24","2006","01","24","","-0.6","","-3.1","","-1.9","","19.9","","0.0","","0.0","","3.4","","3.4","","3","","","","<31",""
"2006-01-25","2006","01","25","","1.6","","-2.1","","-0.3","","18.3","","0.0","","0.0","","6.2","","5.2","","4","","3","E","52","E"
"2006-01-26","2006","01","26","","0.0","","-6.7","","-3.4","","21.4","","0.0","","0.0","","3.8","","3.6","","7","","33","","57",""
"2006-01-27","2006","01","27","","-4.5","","-7.8","","-6.2","","24.2","","0.0","","0.0","","0.5","","0.5","","6","","34","E","50","E"
"2006-01-28","2006","01","28","","3.8","","-5.0","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","6","","29","E","41","E"
"2006-01-29","2006","01","29","","2.0","","-9.0","","-3.5","","21.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","32","E","57","E"
