"Station Name","CHARLOTTETOWN A"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.29"
"Longitude","-63.13"
"Elevation","48.80"
"Climate Identifier","8300300"
"WMO Identifier","71706"
"TC Identifier","YYG"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1943-01","1943","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1943-02","1943","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1943-03","1943","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1943-04","1943","04","4.7","","-1.9","","1.4","","18.3","","-9.4","","22.1","","24.6","","46.7","","","",,"",,""
"1943-05","1943","05","12.8","","3.9","","8.4","","25.0","","-2.8","","156.0","","0.0","","156.0","","","",,"",,""
"1943-06","1943","06","16.3","","8.0","","12.2","","27.8","","1.7","","114.8","","0.0","","114.8","","","",,"",,""
"1943-07","1943","07","22.7","","14.1","","18.4","","30.6","","6.7","","99.8","","0.0","","99.8","","","",,"",,""
"1943-08","1943","08","21.3","","13.8","","17.6","","27.2","","9.4","","79.8","","0.0","","79.8","","","",,"",,""
"1943-09","1943","09","18.8","","11.3","","15.1","","27.2","","5.0","S","114.6","","0.0","","114.6","","","",,"",,""
"1943-10","1943","10","13.3","","6.9","","10.1","","20.6","","-0.6","","118.6","","0.0","T","118.6","","","",,"",,""
"1943-11","1943","11","5.5","","0.2","","2.9","","15.0","","-8.3","S","124.0","","43.7","","167.6","","","",,"",,""
"1943-12","1943","12","-3.4","","-10.9","","-7.2","","4.4","","-23.3","","12.7","","34.5","","47.2","","","",,"",,""
"1944-01","1944","01","-2.8","","-9.9","","-6.4","","3.3","","-17.2","","2.0","","31.0","","33.0","","","",,"",,""
"1944-02","1944","02","-4.3","","-12.2","","-8.3","","5.0","","-21.1","","28.2","","102.1","","130.3","","","",,"",,""
"1944-03","1944","03","-1.4","","-9.0","","-5.2","","6.7","","-18.9","","57.7","","27.7","","85.3","","","",,"",,""
"1944-04","1944","04","5.9","","-2.5","","1.7","","18.9","","-6.1","","44.7","","4.8","","49.5","","","",,"",,""
"1944-05","1944","05","17.1","","4.3","","10.7","","26.7","","-2.2","S","29.0","","0.0","T","29.0","","","",,"",,""
"1944-06","1944","06","20.1","","10.0","","15.1","","32.2","","2.2","S","134.4","","0.0","","134.4","","","",,"",,""
"1944-07","1944","07","23.2","","14.3","","18.8","","30.0","","10.0","S","48.0","","0.0","","48.0","","","",,"",,""
