"Station Name","CHELSEA"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-75.78"
"Elevation","112.50"
"Climate Identifier","7031360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-01-01","2004","01","01","","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","2.2","","2.2","","0","T","","","",""
"2004-01-02","2004","01","02","","-3.0","","-10.0","","-6.5","","24.5","","0.0","","1.4","","2.0","","3.4","","4","","","","",""
"2004-01-03","2004","01","03","","3.5","","-8.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2004-01-04","2004","01","04","","-1.5","","-9.0","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2004-01-05","2004","01","05","","-7.5","","-10.5","","-9.0","","27.0","","0.0","","0.0","","5.6","","5.6","","4","","","","",""
"2004-01-06","2004","01","06","","-10.5","","-15.5","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2004-01-07","2004","01","07","","-12.0","","-22.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2004-01-08","2004","01","08","","-20.5","","-26.0","","-23.3","","41.3","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2004-01-09","2004","01","09","","-20.0","","-29.0","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2004-01-10","2004","01","10","","-18.0","","-34.5","","-26.3","","44.3","","0.0","","0.0","","4.0","","4.0","","4","","","","",""
"2004-01-11","2004","01","11","","-11.0","","-27.0","","-19.0","","37.0","","0.0","","0.0","","13.2","","13.2","","8","","","","",""
"2004-01-12","2004","01","12","","-9.5","","-12.5","","-11.0","","29.0","","0.0","","0.0","","8.0","","8.0","","13","","","","",""
"2004-01-13","2004","01","13","","-12.0","","-27.5","","-19.8","","37.8","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"2004-01-14","2004","01","14","","-22.5","","-33.0","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","21","","","","",""
"2004-01-15","2004","01","15","","-20.5","","-32.0","","-26.3","","44.3","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
