"Station Name","QUEBEC/JEAN LESAGE INTL"
"Province","QUEBEC"
"Latitude","46.80"
"Longitude","-71.38"
"Elevation","60.00"
"Climate Identifier","701S001"
"WMO Identifier","71714"
"TC Identifier","WQB"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-01","1998","01","-5.2","","-13.3","","-9.3","","4.8","","-27.3","S","","","","","97.8","","51","",,"",,""
"1998-02","1998","02","-0.9","","-9.8","","-5.4","","7.4","","-23.9","","","","","","53.5","","58","",,"",,""
"1998-03","1998","03","0.7","","-7.0","","-3.2","","12.4","","-20.6","","","","","","129.0","","10","",,"",,""
"1998-04","1998","04","11.2","","0.8","","6.0","","21.7","","-4.7","","","","","","46.8","","0","",,"",,""
"1998-05","1998","05","20.4","","7.7","","14.1","","29.4","","2.1","","","","","","34.3","","","",,"",,""
"1998-06","1998","06","21.6","","11.3","","16.5","","30.9","","4.0","S","","","","","145.0","","","",,"",,""
"1998-07","1998","07","24.3","","13.6","","19.0","","31.3","","10.1","","","","","","109.2","","","",,"",,""
"1998-08","1998","08","23.9","","12.9","","18.4","","31.0","","7.3","S","","","","","101.8","","","",,"",,""
"1998-09","1998","09","18.6","","8.8","","13.7","","25.5","","1.2","","","","","","108.9","","","",,"",,""
"1998-10","1998","10","11.4","","3.0","","7.2","","18.9","","-3.4","","","","","","101.7","","","",,"",,""
"1998-11","1998","11","3.3","","-2.4","","0.4","","10.1","","-8.8","S","","","","","105.6","","","",,"",,""
"1998-12","1998","12","-1.6","","-9.7","","-5.7","","8.9","","-28.7","","","","","","89.9","","","",,"",,""
"1999-01","1999","01","-7.2","","-17.4","","-12.3","","6.9","","-31.8","","","","","","109.6","","","",,"",,""
"1999-02","1999","02","-2.6","","-13.0","","-7.8","","4.8","","-23.1","","","","","","40.0","","","",,"",,""
"1999-03","1999","03","1.7","","-5.9","","-2.1","","10.6","","-18.4","","","","","","72.6","","","",,"",,""
"1999-04","1999","04","8.5","","-0.1","","4.2","","18.6","","-5.9","","","","","","32.8","","","",,"",,""
"1999-05","1999","05","21.6","","7.9","","14.8","","30.4","","-0.9","","","","","","38.2","","","",,"",,""
"1999-06","1999","06","24.4","","12.5","","18.5","","30.2","","4.1","","","","","","150.6","","","",,"",,""
"1999-07","1999","07","24.6","E","14.5","E","19.6","E","30.9","","8.7","","","","","","162.4","E","","",,"",,""
"1999-08","1999","08","23.3","","12.5","","17.9","","29.1","","6.9","","","","","","75.6","","","",,"",,""
"1999-09","1999","09","21.2","","10.8","","16.0","","30.1","S","3.9","","","","","","180.0","","","",,"",,""
"1999-10","1999","10","9.9","","0.8","","5.3","","17.0","","-4.7","","","","","","114.0","","","",,"",,""
"1999-11","1999","11","5.8","","-1.8","","2.0","","22.9","","-9.7","","","","","","76.6","","","",,"",,""
"1999-12","1999","12","-2.4","","-9.0","","-5.7","","10.4","","-24.1","","","","","","63.4","","5","",,"",,""
"2000-01","2000","01","-8.0","","-17.0","","-12.5","","3.9","","-29.0","","","","","","104.7","","","",,"",,""
"2000-02","2000","02","-3.7","","-14.3","","-9.0","","12.0","","-24.6","","","","","","52.8","","","",,"",,""
"2000-03","2000","03","3.9","","-4.1","","-0.1","","11.4","","-16.2","","","","","","50.5","","","",,"",,""
"2000-04","2000","04","8.0","","-0.4","","3.9","","18.6","","-5.3","","","","","","105.2","","","M",,"",,""
"2000-05","2000","05","16.2","","5.9","","11.1","","24.3","","-1.4","","","","","","107.6","","","M",,"",,""
"2000-06","2000","06","21.1","","10.3","","15.7","","28.9","","3.4","","","","","","122.8","","","",,"",,""
"2000-07","2000","07","24.0","","13.3","","18.7","","29.1","","7.1","","","","","","64.3","","","",,"",,""
"2000-08","2000","08","23.6","","13.1","","18.4","","27.2","","6.4","","","","","","99.2","","","",,"",,""
"2000-09","2000","09","17.0","","6.7","","11.9","","24.7","","-3.6","","","","","","105.3","","","",,"",,""
"2000-10","2000","10","11.3","","1.8","","6.6","","21.5","","-4.1","","","","","","68.5","","","",,"",,""
"2000-11","2000","11","3.9","","-1.4","","1.3","","12.1","","-12.9","","","","","","59.4","","","",,"",,""
"2000-12","2000","12","-6.7","","-14.9","","-10.8","","3.7","","-27.1","","","","","","128.5","","","",,"",,""
"2001-01","2001","01","-6.9","","-17.0","","-12.0","","-0.9","","-24.9","","","","","","23.4","","","",,"",,""
"2001-02","2001","02","-5.4","","-16.5","","-10.9","","5.9","","-26.3","","","","","","94.5","","","",,"",,""
"2001-03","2001","03","-0.5","","-9.4","","-5.0","","6.6","","-25.5","","","","","","40.8","","","",,"",,""
"2001-04","2001","04","8.7","","-1.4","","3.7","","19.3","","-5.6","","","","","","34.9","","","",,"",,""
"2001-05","2001","05","20.2","","6.7","","13.5","","29.3","","0.5","","","","","","58.4","","","",,"",,""
"2001-06","2001","06","23.2","","12.0","","17.6","","33.0","","3.3","","","","","","101.4","","","",,"",,""
"2001-07","2001","07","23.0","","12.4","","17.7","","29.8","","6.7","","","","","","75.7","","","",,"",,""
"2001-08","2001","08","24.8","","12.8","","18.9","","30.6","","6.9","","","","","","108.8","","","",,"",,""
"2001-09","2001","09","19.0","","9.0","","14.0","","29.4","","1.4","","","","","","90.2","","","",,"",,""
"2001-10","2001","10","11.8","","2.8","","7.3","","22.1","","-4.1","","","","","","71.4","I","","",,"",,""
"2001-11","2001","11","5.5","E","-1.6","E","2.0","E","13.5","","-10.7","","","","","","75.3","E","","",,"",,""
"2001-12","2001","12","0.4","E","-5.8","E","-2.7","E","13.2","E","-17.0","","","","","","51.6","","","",,"",,""
"2002-01","2002","01","-4.3","","-12.0","","-8.2","","1.5","","-21.5","","","","","","48.1","","","",,"",,""
"2002-02","2002","02","-4.1","","-13.5","","-8.8","","4.2","","-24.4","","","","","","69.6","","","",,"",,""
"2002-03","2002","03","-0.5","","-9.5","","-5.0","","8.4","","-19.0","","","","","","91.1","","","",,"",,""
"2002-04","2002","04","8.2","","-0.7","","3.8","","21.5","","-10.0","","","","","","129.3","","","",,"",,""
"2002-05","2002","05","14.8","E","3.6","E","9.2","E","25.7","","-1.2","","","","","","102.0","","","",,"",,""
"2002-06","2002","06","20.5","","9.3","","14.9","","28.2","","2.6","","","","","","70.1","","","",,"",,""
"2002-07","2002","07","25.4","","14.2","","19.8","","33.0","S","8.8","","","","","","63.8","","","",,"",,""
"2002-08","2002","08","25.8","","12.9","","19.4","","33.3","","6.2","","","","","","10.7","","","",,"",,""
"2002-09","2002","09","21.9","","9.3","","15.6","","33.0","","1.8","","","","","","105.6","","","",,"",,""
"2002-10","2002","10","8.6","E","0.9","E","4.8","E","24.0","","-7.2","","","","","","82.7","I","","",,"",,""
"2002-11","2002","11","1.0","","-5.7","","-2.4","","14.3","","-15.2","S","","","","","101.7","","","",,"",,""
"2002-12","2002","12","-3.6","E","-11.7","","-7.7","E","2.8","","-25.6","","","","","","42.4","I","","",,"",,""
"2003-01","2003","01","-10.7","E","-18.6","E","-14.7","E","0.0","","-28.1","","","","","","26.5","","","",,"",,""
"2003-02","2003","02","-8.0","","-18.5","","-13.3","","1.8","","-30.9","","","","","","37.5","","","",,"",,""
"2003-03","2003","03","-0.9","","-11.3","","-6.1","","8.8","","-26.7","","","","","","81.4","","","",,"",,""
"2003-04","2003","04","6.0","","-3.7","","1.1","","14.9","","-13.6","","","","","","60.9","","","",,"",,""
"2003-05","2003","05","15.8","","5.7","","10.8","","28.9","","0.4","","","","","","89.0","","","",,"",,""
"2003-06","2003","06","23.5","","10.6","","17.1","","34.2","","3.2","","","","","","79.3","","","",,"",,""
"2003-07","2003","07","23.7","","13.1","","18.5","","29.1","","9.3","","","","","","125.7","","","",,"",,""
"2003-08","2003","08","22.8","","13.3","","18.1","","29.2","","5.0","","","","","","152.0","","","",,"",,""
"2003-09","2003","09","20.9","","9.6","","15.3","","29.1","","4.2","","","","","","85.3","","","",,"",,""
