"Station Name","WINDSOR A"
"Province","ONTARIO"
"Latitude","42.28"
"Longitude","-82.96"
"Elevation","189.60"
"Climate Identifier","6139525"
"WMO Identifier","71538"
"TC Identifier","YQG"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-01-01","1999","01","01","","-8.5","","-13.9","","-11.2","","29.2","","0.0","","0.0","","0.6","","0.4","","4","","33","","50",""
"1999-01-02","1999","01","02","","0.8","","-10.8","","-5.0","","23.0","","0.0","","0.4","","28.2","","33.2","","2","","10","","89",""
"1999-01-03","1999","01","03","","2.2","","-12.6","","-5.2","","23.2","","0.0","","1.0","","0.6","","1.6","","24","","23","","91",""
"1999-01-04","1999","01","04","","-12.6","","-17.3","","-15.0","","33.0","","0.0","","0.0","","0.4","","0.2","","24","","24","","69",""
"1999-01-05","1999","01","05","","-11.7","","-21.4","","-16.6","","34.6","","0.0","","0.0","","0.0","T","0.0","T","22","","22","","44",""
"1999-01-06","1999","01","06","","-2.9","","-11.8","","-7.4","","25.4","","0.0","","0.0","","6.4","","3.6","","24","","25","","67",""
"1999-01-07","1999","01","07","","-7.9","","-15.2","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","27","","26","","39",""
"1999-01-08","1999","01","08","","-7.3","","-16.5","","-11.9","","29.9","","0.0","","0.0","","8.2","","7.4","","24","","5","","41",""
"1999-01-09","1999","01","09","","-5.9","","-14.4","","-10.2","","28.2","","0.0","","0.0","","1.0","","0.2","","26","","34","","43",""
"1999-01-10","1999","01","10","","-9.7","","-18.1","","-13.9","","31.9","","0.0","","0.0","","1.8","","1.4","","25","","23","","54",""
"1999-01-11","1999","01","11","","-7.0","","-17.6","","-12.3","","30.3","","0.0","","0.0","","12.0","","8.6","","26","","22","","37",""
"1999-01-12","1999","01","12","","-6.4","","-9.1","","-7.8","","25.8","","0.0","","0.4","","9.6","","9.0","","36","","3","","35",""
"1999-01-13","1999","01","13","","-6.3","","-18.2","","-12.3","","30.3","","0.0","","0.0","","4.4","","4.4","","36","","5","","70",""
"1999-01-14","1999","01","14","","-10.7","","-19.0","","-14.9","","32.9","","0.0","","0.0","","2.6","","1.2","","34","","4","","65",""
"1999-01-15","1999","01","15","","-6.6","","-13.4","","-10.0","","28.0","","0.0","","0.0","","0.2","","0.2","","35","","20","","32",""
"1999-01-16","1999","01","16","","3.8","","-6.6","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","35","","25","","57",""
"1999-01-17","1999","01","17","","4.6","","-9.4","","-2.4","","20.4","","0.0","","10.6","","0.0","","10.6","","28","","","","<31",""
"1999-01-18","1999","01","18","","5.6","","-1.0","","2.3","","15.7","","0.0","","2.4","","0.2","","2.4","","20","","23","","80",""
"1999-01-19","1999","01","19","","0.4","","-5.1","","-2.4","","20.4","","0.0","","0.0","","0.0","T","0.0","T","18","","25","","70",""
"1999-01-20","1999","01","20","","2.0","","-10.8","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","13","","","","<31",""
"1999-01-21","1999","01","21","","2.6","","-4.2","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","11","","1","","39",""
"1999-01-22","1999","01","22","","6.6","","0.5","","3.6","","14.4","","0.0","","29.8","","0.0","","29.8","","8","","9","","65",""
"1999-01-23","1999","01","23","","11.9","","2.6","","7.3","","10.7","","0.0","","2.8","","0.0","","2.8","","5","","25","","76",""
"1999-01-24","1999","01","24","","2.8","","-0.2","","1.3","","16.7","","0.0","","0.0","T","1.2","","1.4","","0","T","25","","57",""
"1999-01-25","1999","01","25","","2.4","","-0.8","","0.8","","17.2","","0.0","","0.0","","9.0","","4.0","","9","","28","","35",""
"1999-01-26","1999","01","26","","0.8","","-3.5","","-1.4","","19.4","","0.0","","0.0","","0.0","","0.0","","6","","25","","32",""
"1999-01-27","1999","01","27","","10.6","","-3.5","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","4","","28","","56",""
"1999-01-28","1999","01","28","","3.8","","-1.8","","1.0","","17.0","","0.0","","0.2","","0.0","T","0.2","","2","","28","","48",""
"1999-01-29","1999","01","29","","1.5","","-2.8","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","0","T","35","","35",""
"1999-01-30","1999","01","30","","3.2","","-4.2","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","T","5","","52",""
"1999-01-31","1999","01","31","","1.7","","-4.6","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","T","9","","48",""
"1999-02-01","1999","02","01","","3.4","","-3.5","","-0.1","","18.1","","0.0","","4.8","","0.0","T","4.8","","0","T","","","<31",""
"1999-02-02","1999","02","02","","6.6","","-0.3","","3.2","","14.8","","0.0","","4.6","","0.0","","4.6","","0","T","29","","57",""
"1999-02-03","1999","02","03","","5.4","","-0.3","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","0","T","22","","50",""
"1999-02-04","1999","02","04","","5.1","","-4.6","","0.3","","17.7","","0.0","","1.0","","0.0","","1.0","","0","T","28","","63",""
"1999-02-05","1999","02","05","","1.9","","-6.7","","-2.4","","20.4","","0.0","","0.8","","0.2","","1.0","","0","","","","<31",""
"1999-02-06","1999","02","06","","9.4","","-1.4","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","33","","35",""
"1999-02-07","1999","02","07","","0.4","","-2.9","","-1.3","","19.3","","0.0","","0.0","","9.0","","8.0","","0","","2","","63",""
"1999-02-08","1999","02","08","","2.2","","-2.7","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","7","","20","","41",""
"1999-02-09","1999","02","09","","10.9","","0.9","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","4","","29","","59",""
"1999-02-10","1999","02","10","","9.0","","-0.9","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"1999-02-11","1999","02","11","","19.0","","0.5","","9.8","","8.2","","0.0","","1.8","","0.0","","1.8","","0","","25","","98",""
"1999-02-12","1999","02","12","","12.3","","-6.8","","2.8","","15.2","","0.0","","1.4","","1.4","","2.8","","0","","26","","80",""
"1999-02-13","1999","02","13","","0.5","","-8.8","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","","65",""
"1999-02-14","1999","02","14","","1.5","","-7.6","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","0","","21","","43",""
"1999-02-15","1999","02","15","","9.2","","-1.4","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","","24","","43",""
"1999-02-16","1999","02","16","","9.9","","1.3","","5.6","","12.4","","0.0","","4.4","","0.0","","4.4","","0","","22","","46",""
"1999-02-17","1999","02","17","","3.8","","-0.7","","1.6","","16.4","","0.0","","0.0","","0.0","T","0.0","T","0","","27","","44",""
"1999-02-18","1999","02","18","","0.3","","-2.4","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"1999-02-19","1999","02","19","","-1.0","","-6.0","","-3.5","","21.5","","0.0","","0.0","","1.0","","0.4","","0","","","","<31",""
"1999-02-20","1999","02","20","","-1.6","","-8.4","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","1","","36","","48",""
"1999-02-21","1999","02","21","","-1.1","","-8.8","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","36","","56",""
"1999-02-22","1999","02","22","","-4.9","","-10.8","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"1999-02-23","1999","02","23","","-2.6","","-8.8","","-5.7","","23.7","","0.0","","0.0","","0.0","","0.0","","0","","8","","46",""
"1999-02-24","1999","02","24","","1.6","","-8.1","","-3.3","","21.3","","0.0","","0.0","","3.8","","3.8","","0","","","","<31",""
"1999-02-25","1999","02","25","","1.1","","-0.7","","0.2","","17.8","","0.0","","0.0","","3.4","","3.2","","6","","","","<31",""
